C1:1
C2:1
C3:1
C4:1
CD4053B:1
CH340E:1
D1:1
D2:1
D3:1
D4:1
J1:1
J2:1
R1:1
R2:1
R3:1
R4:1
R5:1
SW1:1
U3:1
